approach,doc_id,condition,entity_text,entity_label,context_snippet,is_correct
BioNLP,618,digestive system diseases,ulcerative lesion,PATHOLOGICAL_FORMATION,"Lymphomatoid granulomatosis presenting as ulcerodestructive gastrointestinal tract lesions in patients with human immunodeficiency virus infection. A new association. We describe cases of severe odynophagia, extensive oral ulcerations, and bowel perf...",1
BioNLP,819,general pathological conditions,crypt,TISSUE,AIDS enteropathy: occult enteric infections and duodenal mucosal alterations in chronic diarrhea OBJECTIVE: To investigate occult enteric infections and morphologic changes in the small intestine in patients with advanced human immunodeficiency virus...,1
BioNLP,160,cardiovascular diseases,erythropoietin,GENE_OR_GENE_PRODUCT,Body fluid spaces and blood pressure in hemodialysis patients during amelioration of anemia with erythropoietin. Blood pressure (BP) may increase in hemodialysis patients during treatment of anemia with recombinant human erythropoietin (r-HuEPO). Sin...,1
BioNLP,664,general pathological conditions,tissue,TISSUE,Ampullary hamartoma: endoscopic diagnosis and treatment. This study shows a patient who presented with intermittent biliary tract obstruction caused by ampullary hamartoma. Endoscopic retrograde cholangiopancreatography showed a large ulcerated papil...,1
BioNLP,1044,general pathological conditions,rats,ORGANISM,"Studies of the route, magnitude, and time course of bacterial translocation in a model of systemic inflammation. Bacteria have been documented to translocate from the gut to systemic organs, yet the exact route by which they translocate remains uncle...",1
BioNLP,86,cardiovascular diseases,cbfv,SIMPLE_CHEMICAL,"Effects of adenosine on human coronary arterial circulation Adenosine is a potent vasodilator used extensively to study the coronary circulation of animals. Its use in humans, however, has been hampered by lack of knowledge about its effects on the h...",0
BioNLP,448,digestive system diseases,gastric antrum,CANCER,"Helicobacter pylori infection in pernicious anemia: a prospective controlled study. Although some authors believe that Helicobacter pylori is the etiologic agent in chronic nonspecific gastritis, it has also been suggested that the bacterium colonize...",0
BioNLP,120,cardiovascular diseases,circumflex area,PATHOLOGICAL_FORMATION,"Direct CO2 laser ""revascularization"" of the myocardium. Evidence of regional myocardial perfusion and contractile function after direct CO2 laser myocardial revascularization (DLR) is lacking. We examined myocardial segment shortening, adenine nucleo...",0
BioNLP,35,cardiovascular diseases,aspirin,SIMPLE_CHEMICAL,"The ""all-autogenous"" tissue policy for infrainguinal reconstruction questioned. In 33% of patients referred for infrainguinal reconstruction for limb-threatening ischemia (mean preoperative ankle-arm index [AAI] = 0.26), no suitable autogenous recons...",1
BioNLP,1204,general pathological conditions,myocardial,MULTI_TISSUE_STRUCTURE,Steal-prone coronary anatomy and myocardial ischemia associated with four primary anesthetic agents in humans. To examine the relationship between myocardial ischemia in patients with steal-prone coronary anatomy and the administration of isoflurane ...,0
BioNLP,431,digestive system diseases,cancer,CANCER,Nitrite from inflammatory cells--a cancer risk factor in ulcerative colitis? Elevated levels of luminal nitrite and a lowered luminal pH were found in 77 percent of patients with acute ulcerative colitis. No luminal nitrite was found in healthy contr...,1
BioNLP,828,general pathological conditions,patient,ORGANISM,Ototoxicity of cis-platinum and its relationship to eye colour. The following hypothesis is presented: that the susceptibility of an individual patient to hearing loss as a result of cis-platinum administration can be predicted on the basis of eye co...,1
BioNLP,1536,neoplasms,g-csf,SIMPLE_CHEMICAL,Characterization of a factor-dependent acute leukemia cell line with translocation (3;3)(q21;q26). A strictly factor-dependent cell line (UCSD/AML1) was established from a patient with the syndrome of multilineage acute leukemia with high platelets. ...,0
BioNLP,1787,nervous system diseases,lesion,PATHOLOGICAL_FORMATION,Prognosticating study for cervical myelopathy using evoked spinal cord potentials. One hundred twenty-three cases of cervical spondylotic and ossification of the posterior longitudinal ligament (OPLL) myelopathy cases with long tract signs subjected ...,1
BioNLP,282,cardiovascular diseases,neutrophil,CELL,"Intracoronary adenosine administration during reperfusion following 3 hours of ischemia: effects on infarct size, ventricular function, and regional myocardial blood flow. Previous studies have demonstrated that adenosine significantly enhances myoca...",1
BioNLP,1998,nervous system diseases,3-weekly,SIMPLE_CHEMICAL,Epirubicin at two dose levels with prednisolone as treatment for advanced breast cancer: the results of a randomized trial. Two hundred eleven patients with advanced breast cancer were randomized to receive either epirubicin (E) 50 mg/m2 and predniso...,0
BioNLP,1954,nervous system diseases,lumbosacral cord,MULTI_TISSUE_STRUCTURE,"Surgical treatment of the retethered spinal cord after repair of lipomyelomeningocele. In a series of 75 patients with surgically treated lipomyelomeningoceles, the neurological condition of six patients deteriorated 6 months to 14 years after the op...",1
BioNLP,1459,neoplasms,colorectal neoplasia,CANCER,Role of upper gastrointestinal investigations in a screening study for colorectal neoplasia. Should patients with positive faecal occult blood screening tests who are free of colorectal neoplasia undergo upper gastrointestinal investigation? Altogeth...,1
BioNLP,708,general pathological conditions,ventrolateral,MULTI_TISSUE_STRUCTURE,"Striatonigral degeneration. A clinicopathological study. The clinical and pathological features of 10 cases of striatonigral degeneration are described: 5 were misdiagnosed in life as Parkinson's disease. Retrospectively, helpful early pointers to th...",0
BioNLP,559,digestive system diseases,ondansetron,SIMPLE_CHEMICAL,Antagonism of serotonin S3 receptors with ondansetron prevents nausea and emesis induced by cyclophosphamide-containing chemotherapy regimens The control of nausea and emesis in cancer patients receiving chemotherapy poses a significant management pr...,1
BioNLP,1498,neoplasms,ovary,ORGAN,Evaluation of a simple line width test involving magnetic resonance spectroscopy of plasma in carcinoma of the ovary. Magnetic resonance spectroscopic (MRS) measurement of human plasma has been reported as a generally applicable marker for malignancy...,1
BioNLP,648,general pathological conditions,acetabular,TISSUE,Total hip arthroplasty with cement. A long-term radiographic analysis in patients who are older than fifty and younger than fifty years. The long-term performance of a total of 712 Charnley and STH prostheses was evaluated as a function of the patien...,0
BioNLP,342,cardiovascular diseases,adenine,SIMPLE_CHEMICAL,Efficacy of recombinant-derived human superoxide dismutase on porcine left ventricular contractility after normothermic global myocardial ischemia and hypothermic cardioplegic arrest. A porcine model of normothermic global ischemia (40 minutes) follo...,1
BioNLP,874,general pathological conditions,platelet-release,GENE_OR_GENE_PRODUCT,"Increased microvascular permeability in vivo in response to intradermal injection of neutrophil-activating protein (NAP-2) in rabbit skin. Neutrophil-activating protein-2 (NAP-2), an NH2-terminally processed form of the platelet-release product beta ...",0
BioNLP,234,cardiovascular diseases,patient,ORGANISM,The determinants and prognostic significance of serum uric acid in elderly patients of the European Working Party on High Blood Pressure in the Elderly trial. Determinants and risks associated with serum uric acid were investigated in 822 elderly hyp...,1
BioNLP,54,cardiovascular diseases,aortic valvotomy,PATHOLOGICAL_FORMATION,"Critical aortic stenosis in early infancy. Anatomic and echocardiographic substrates of successful open valvotomy. To establish noninvasive criteria by which to manage infants with critical aortic stenosis, we examined 20 heart specimens from infants...",0
BioNLP,1469,neoplasms,infant,ORGANISM_SUBDIVISION,Giant enterocystoma within an infant's tongue. A rare developmental cyst within the tongue and submandibular triangle of a male infant containing heterotopic gastric and intestinal epithelium (enterocystoma) is described and its derivation discussed....,0
BioNLP,824,general pathological conditions,tumor,CANCER,"Philadelphia chromosome and monosomy 7 in childhood acute lymphoblastic leukemia: a Pediatric Oncology Group study. During an 8-year period, 3,638 children from institutions of the Pediatric Oncology Group (POG) were diagnosed with acute lymphoblasti...",1
BioNLP,73,cardiovascular diseases,cardiac,ORGAN,Fatal fungal pericarditis after cardiac surgery and immunosuppression. The cases of two patients with fulminant pericarditis after cardiac surgery are reported. Both fungal infections developed after rethoracotomy for open-chest cardiac resuscitation...,0
BioNLP,631,general pathological conditions,facioscapulohumeral disease,CANCER,"Deficiency of complex III of the mitochondrial respiratory chain in a patient with facioscapulohumeral disease. Facioscapulohumeral disease (FSHD), an inherited neuromuscular disorder, is characterized by progressive wasting of specific muscle groups...",0
BioNLP,923,general pathological conditions,bowel,ORGAN,"Ileal pouch-anal anastomosis. The Emory University experience. The ileal pouch-anal anastomosis has become a practical alternative to proctocolectomy for the treatment of ulcerative colitis and polyposis coli. To evaluate its success, the Emory Unive...",1
BioNLP,985,general pathological conditions,pf4,GENE_OR_GENE_PRODUCT,Platelet factor 4 mRNA expression in cells from a patient with megakaryoblastic crisis of chronic myelogenous leukemia. A 61-year-old man with Philadelphia chromosome-positive chronic myelogenous leukemia developed megakaryoblastic leukemia. In the b...,1
BioNLP,525,digestive system diseases,human gastric mucus,ORGANISM,Breakdown of gastric mucus in presence of Helicobacter pylori. The potential of Helicobacter pylori to degrade gastric mucus was examined. Colonies of H pylori cultured from antral mucosal biopsy specimens of patients with non-autoimmune gastritis we...,0
BioNLP,149,cardiovascular diseases,vascular wall ace,MULTI_TISSUE_STRUCTURE,"Characteristics of a new angiotensin converting enzyme inhibitor: delapril. Delapril, a nonsulfhydryl angiotensin converting enzyme (ACE) inhibitor, which has an indanylglycine moiety differing from the proline moiety of captopril or enalapril, is an...",0
BioNLP,1407,neoplasms,tcdd,SIMPLE_CHEMICAL,"Cancer mortality in workers exposed to 2,3,7,8-tetrachlorodibenzo-p-dioxin BACKGROUND. In both animal and epidemiologic studies, exposure to dioxin (2,3,7,8-tetrachlorodibenzo-p-dioxin, or TCDD) has been associated with an increased risk of cancer. M...",1
BioNLP,150,cardiovascular diseases,thallium,SIMPLE_CHEMICAL,Transient left ventricular cavitary dilation during dipyridamole-thallium imaging as an indicator of severe coronary artery disease. Transient left ventricular (LV) cavitary dilation during dipyridamole-thallium imaging was reported in 45 of 510 (9%)...,1
BioNLP,1851,nervous system diseases,autopsy material,CANCER,"Mesencephalic cholinergic nuclei in progressive supranuclear palsy. Using an antibody against choline acetyltransferase (ChAT), mesencephalic cholinergic cell nuclei were studied in autopsy material from 3 cases of progressive supranuclear palsy (PSP...",0
BioNLP,1980,nervous system diseases,non-neuroendocrine cell,CELL,Expression of neural cell adhesion molecule in normal and neoplastic human neuroendocrine tissues. The neural cell adhesion molecule (N-CAM) is a group of cell surface glycoproteins involved in direct cell--cell adhesion. N-CAM expression in normal a...,1
BioNLP,1162,general pathological conditions,d40,GENE_OR_GENE_PRODUCT,"Isovolumic hemodilution with dextran 40 in the rat: effect on the development of peripheral edema and various physiologic parameters. Low molecular weight dextran 40 (D40), 40,000 daltons, is a potential therapeutic agent for cerebral ischemia becaus...",0
BioNLP,735,general pathological conditions,type i,GENE_OR_GENE_PRODUCT,Primary intramedullary nailing of open femoral shaft fractures. The cases of 60 patients with 63 open femoral fractures treated by primary reamed intramedullary nailing were retrospectively reviewed. Twenty-two were classified as Type I open fracture...,0
BioNLP,1675,neoplasms,axillary lymph node,MULTI_TISSUE_STRUCTURE,"Radiation therapy for intraductal carcinoma. Is it an equal alternative? Of 213 consecutive patients with intraductal carcinoma, 109 were selectively treated with mastectomy and 104 with radiation therapy. There were eight local recurrences, seven in...",1
BioNLP,300,cardiovascular diseases,pulmonary,ORGAN,"Mechanical circulatory support as a bridge to transplantation: current status of total artificial heart in 1989 and determinants of survival. Since April 1986, 40 total artificial hearts (TAH) were implanted as a bridge to transplantation in our inst...",0
BioNLP,1884,nervous system diseases,posterior interosseous nerve,MULTI_TISSUE_STRUCTURE,"Posterior interosseous nerve palsies. One hundred seventy patients with radial nerve disorders were reviewed at the Louisiana State University Medical Center over a 15-year period. Of these, 32 had involvement of the posterior interosseous nerve excl...",1
BioNLP,904,general pathological conditions,colon cancer,CANCER,Phase I study of interleukin-2 and interferon alfa-2a as outpatient therapy for patients with advanced malignancy. Twenty-six patients were treated in this phase I study with the combination of interleukin-2 (IL2) administered as a continuous infusio...,1
BioNLP,412,cardiovascular diseases,ccf,CANCER,Arginine vasopressin gene expression in chronic cardiac failure in rats. Arginine vasopressin (AVP) is known to be increased in patients and experimental animals with chronic cardiac failure (CCF). The importance of an increase in biosynthesis of AVP...,0
BioNLP,1657,neoplasms,lung cancer,CANCER,"Vitamin C and cancer prevention: the epidemiologic evidence. Epidemiologic evidence of a protective effect of vitamin C for non-hormone-dependent cancers is strong. Of the 46 such studies in which a dietary vitamin C index was calculated, 33 found st...",1
BioNLP,526,digestive system diseases,esophageal reflux,PATHOLOGICAL_FORMATION,Esophageal reflux before and after isolated myotomy for achalasia. Four patients with achalasia underwent 24-hour esophageal pH measurements as ambulatory patients before and after limited myotomy without fundoplication. Resting lower esophageal sphi...,1
BioNLP,1578,neoplasms,tumor,CANCER,99mTc-anti-CEA radioimmunoscintigraphy of lung adenocarcinoma. Anti-carcinoembryonic antigen radioimmunoscintigraphy (anti-CEA RIS) in colorectal adenocarcinoma has been reported to allow a better estimation of the local tumor extension than other ra...,1
BioNLP,1781,nervous system diseases,extradural haematoma,ORGANISM_SUBDIVISION,Extradural haematoma in the Irish Republic: an analysis of 82 cases with emphasis on 'delay'. Eighty-two cases of extradural haematoma were analysed to elucidate the factors contributing to delay in treatment and poor outcome. The majority of cases o...,0
BioNLP,1508,neoplasms,class ii antigen,GENE_OR_GENE_PRODUCT,"Expression of class I and II human leukocyte antigens by thyrocytes and lymphocytic infiltration on human thyroid tumors. An immunofluorescence study. Surgical thyroid sections from 30 papillary carcinomas (PC), six medullary carcinomas (MC), three a...",1
BioNLP,1482,neoplasms,hmv-1 cell,CELL,"Shear stress induces not only platelet aggregation but also platelet-tumor cell interaction. To investigate the interaction between platelets and tumor cells under well-defined flow conditions, the effect of tumor cells on platelet aggregation induce...",1
BioNLP,934,general pathological conditions,patient,ORGANISM,Monitoring of spinal cord stimulation evoked potentials during thoracoabdominal aneurysm surgery. Repair of a thoracoabdominal aneurysm involves a significant risk of ischemic injury to the spinal cord. Standard monitoring of somatosensory evoked pot...,1
BioNLP,1496,neoplasms,patient,ORGANISM,Cardiopulmonary resuscitation and the patient with cancer. The records of 114 cancer patients suffering cardiopulmonary arrests (CPA) during a 3-year period at Memorial Sloan-Kettering Cancer Center (MSKCC) were retrospectively reviewed to identify v...,1
BioNLP,317,cardiovascular diseases,myocardial lymphocytic infiltrate,CANCER,Perforin-mediated myocardial damage in acute myocarditis. Endomyocardial specimens were obtained from 7 patients with acute myocarditis. Immunohistochemical examination of the mononuclear infiltrate showed mainly cytotoxic T lymphocytes and natural k...,0
BioNLP,204,cardiovascular diseases,arterial,MULTI_TISSUE_STRUCTURE,"The role of duplex scanning in the selection of patients for transluminal angioplasty. As part of our initial evaluation to determine whether patients with lower extremity ischemia are candidates for intervention, arterial duplex examinations are per...",0
BioNLP,746,general pathological conditions,human polymorphonuclear leukocyte,ORGANISM,Cytokine regulation of IL-1 beta gene expression in the human polymorphonuclear leukocyte. Although recently polymorphonuclear leukocytes (PMN) have been identified as producers of IL-1 beta in response to LPS and granulocyte/monocyte colony stimulat...,0
BioNLP,54,cardiovascular diseases,papillary muscle,CANCER,"Critical aortic stenosis in early infancy. Anatomic and echocardiographic substrates of successful open valvotomy. To establish noninvasive criteria by which to manage infants with critical aortic stenosis, we examined 20 heart specimens from infants...",0
BioNLP,952,general pathological conditions,gastrointestinal cytomegalovirus disease,CANCER,"Diagnosis and treatment of cytomegalovirus disease in transplant patients based on gastrointestinal tract manifestations. Infection due to cytomegalovirus is a substantial cause of morbidity and mortality in immunocompromised patients. In particular,...",0
BioNLP,1303,neoplasms,stomach,ORGAN,"The significance of gastrinomas found in peripancreatic lymph nodes. A patient with Zollinger-Ellison syndrome (ZES) was found to have a solitary, extrapancreatic, extraintestinal gastrinoma in a peripancreatic lymph node. Preoperative studies did no...",1
BioNLP,201,cardiovascular diseases,generalized-infrequent,SIMPLE_CHEMICAL,"Outcome of prophylactic therapy for idiopathic anaphylaxis. OBJECTIVE: To determine the efficacy of a prophylactic regimen (prednisone, H1 blockade, and sympathomimetic amine therapy) in patients with idiopathic anaphylaxis. DESIGN: Clinical trial be...",0
BioNLP,1964,nervous system diseases,cerebral,ORGAN,"Motor dysfunction in HIV-infected patients without clinically detectable central-nervous deficit. Motor tests were performed in 50 HIV-infected patients in all stages according to the current CDC classification, but without any clinically evident cen...",0
BioNLP,1114,general pathological conditions,intrapancreatic allograft,TISSUE,"Patterns of growth and metastases of induced pancreatic cancer in relation to the prognosis and its clinical implications. To understand high malignancy of pancreatic cancer, the growth and metastatic patterns of pancreatic cancer induced in Syrian h...",1
BioNLP,1643,neoplasms,brain,ORGAN,"Primary central nervous system lymphoma in a pediatric patient with acquired immune deficiency syndrome. Treatment with radiation therapy. Primary central nervous system (CNS) lymphoma, an otherwise rare pediatric tumor, has been reported with increa...",1
BioNLP,549,digestive system diseases,ger,CANCER,Gastroesophageal reflux and respiratory symptoms: is there an association? Proposed mechanisms and treatment. Gastroesophageal reflux (GER) is a dysfunction of the distal esophagus causing movement of stomach contents into the esophagus. Patients may...,0
